Table 80,,,,
CALIFORNIA,,,,
Full-time Law Enforcement Employees ,,,,
"by Metropolitan and Nonmetropolitan Counties, 2014",,,,
Metropolitan/Nonmetropolitan,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
Metropolitan Counties,Alameda,"1,506",956,550
,Butte,296,109,187
,Contra Costa,940,639,301
,El Dorado,341,155,186
,Fresno,"1,009",398,611
,Imperial,284,190,94
,Kern,"1,191",886,305
,Kings,267,76,191
,Los Angeles,"16,759","9,220","7,539"
,Madera,109,75,34
,Marin,282,187,95
,Merced,221,97,124
,Monterey,414,300,114
,Napa,142,112,30
,Orange,"3,601","1,828","1,773"
,Placer,465,236,229
,Riverside,"4,020","2,009","2,011"
,Sacramento,"1,900","1,213",687
,San Benito,42,18,24
,San Bernardino,"3,310","1,809","1,501"
,San Diego,"4,123","2,515","1,608"
,San Francisco,990,827,163
,San Joaquin,721,290,431
,San Luis Obispo,379,151,228
,San Mateo,638,462,176
,Santa Barbara,612,446,166
,Santa Clara,"1,616","1,166",450
,Santa Cruz,304,135,169
,Shasta,217,145,72
,Solano,457,116,341
,Sonoma,612,228,384
,Stanislaus,564,409,155
,Sutter,132,108,24
,Tulare,749,536,213
,Ventura,"1,231",747,484
,Yolo,254,88,166
,Yuba,168,125,43
Nonmetropolitan Counties,Alpine,14,11,3
,Amador,93,47,46
,Calaveras,92,48,44
,Colusa,67,34,33
,Del Norte,53,25,28
,Glenn,60,25,35
,Humboldt,219,175,44
,Inyo,68,35,33
,Lake,134,50,84
,Lassen,82,61,21
,Mariposa,72,58,14
,Mendocino,168,126,42
,Modoc,21,13,8
,Mono,49,26,23
,Nevada,153,59,94
,Plumas,61,32,29
,Sierra,15,10,5
,Siskiyou,100,79,21
,Tehama,115,83,32
,Trinity,40,33,7
,Tuolumne,126,61,65
