Table 80,,,,,
CALIFORNIA,,,,,
Full-time Law Enforcement Employees ,,,,,
"by Metropolitan and Nonmetropolitan Counties, 2018",,,,,
Metropolitan/Nonmetropolitan,County,"Total law
enforcement
employees","Total
officers","Total
civilians",
Metropolitan Counties,Alameda,"1,537",939,598,
,Butte,263,98,165,
,Contra Costa,961,647,314,
,El Dorado,341,150,191,
,Fresno,"1,152",430,722,
,Imperial,275,187,88,
,Kern,"1,163",806,357,
,Kings,286,83,203,
,Los Angeles,"15,754","9,426","6,328",
,Madera,116,85,31,
,Marin,291,196,95,
,Merced,249,117,132,
,Monterey,426,304,122,
,Napa,135,99,36,
,Orange,"3,735","1,880","1,855",
,Placer,543,260,283,
,Riverside,"3,530","1,795","1,735",
,Sacramento,"1,898","1,302",596,
,San Benito,54,24,30,
,San Bernardino,"3,407","2,018","1,389",
,San Diego,"4,283","2,572","1,711",
,San Francisco,"1,045",860,185,
,San Joaquin,740,302,438,
,San Luis Obispo,409,305,104,
,San Mateo,734,348,386,
,Santa Barbara,624,454,170,
,Santa Clara,"1,694","1,279",415,
,Santa Cruz,328,140,188,
,Shasta,198,138,60,
,Solano,507,123,384,
,Sonoma,608,232,376,
,Stanislaus,681,508,173,
,Sutter,132,107,25,
,Tulare,761,536,225,
,Ventura,"1,232",760,472,
,Yolo,259,84,175,
,Yuba,155,118,37,
Nonmetropolitan Counties,Alpine,15,12,3,
,Amador,90,46,44,
,Calaveras,99,48,51,
,Colusa,58,40,18,
,Del Norte,53,23,30,
,Glenn,68,33,35,
,Humboldt,240,186,54,
,Inyo,77,36,41,
,Lake,68,49,19,
,Lassen,84,57,27,
,Mariposa,74,60,14,
,Mendocino,197,135,62,
,Modoc,28,19,9,
,Mono,41,21,20,
,Nevada,151,62,89,
,Plumas,62,33,29,
,Sierra,13,9,4,
,Siskiyou,99,44,55,
,Tehama,114,79,35,
,Trinity,42,30,12,
,Tuolumne,131,62,69,
