Table 28,,,,
CALIFORNIA,,,,
Full-time Law Enforcement Employees ,,,,
"by Metropolitan and Nonmetropolitan Counties, 2016",,,,
Metropolitan/Nonmetropolitan,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
Metropolitan Counties,Alameda,"1,564","1,003",561
,Butte,269,94,175
,Contra Costa,957,633,324
,El Dorado,349,154,195
,Fresno,"1,104",406,698
,Imperial,286,190,96
,Kern,"1,137",826,311
,Kings,271,75,196
,Los Angeles,"16,721","9,316","7,405"
,Madera,107,79,28
,Marin,291,191,100
,Merced,223,88,135
,Monterey,416,295,121
,Napa,139,100,39
,Orange,"3,622","1,745","1,877"
,Placer,513,244,269
,Riverside,"3,939","2,003","1,936"
,Sacramento,"1,923","1,247",676
,San Benito,54,26,28
,San Bernardino,"3,059","1,855","1,204"
,San Diego,"4,254","2,569","1,685"
,San Francisco,"1,027",830,197
,San Joaquin,699,274,425
,San Luis Obispo,396,295,101
,San Mateo,681,330,351
,Santa Barbara,617,452,165
,Santa Clara,"1,655","1,257",398
,Santa Cruz,332,142,190
,Shasta,216,153,63
,Solano,526,124,402
,Sonoma,331,232,99
,Stanislaus,611,456,155
,Sutter,133,105,28
,Tulare,747,531,216
,Ventura,"1,247",756,491
,Yolo,263,89,174
,Yuba,162,118,44
Nonmetropolitan Counties,Alpine,17,13,4
,Amador,86,45,41
,Calaveras,101,49,52
,Colusa,65,33,32
,Del Norte,55,24,31
,Glenn,55,22,33
,Humboldt,235,182,53
,Inyo,71,35,36
,Lake,135,53,82
,Lassen,81,59,22
,Mariposa,71,56,15
,Mendocino,165,123,42
,Modoc,28,19,9
,Mono,38,21,17
,Nevada,155,63,92
,Plumas,65,33,32
,Sierra,17,11,6
,Siskiyou,108,86,22
,Tehama,113,79,34
,Trinity,44,35,9
,Tuolumne,126,62,64
