Table 80,,,,,
CALIFORNIA,,,,,
Full-time Law Enforcement Employees ,,,,,
"by Metropolitan and Nonmetropolitan Counties, 2011",,,,,
Metropolitan/Nonmetropolitan,County,"Total law
enforcement
employees","Total
officers","Total
civilians",
Metropolitan Counties,Alameda,"1,599",950,649,
,Butte,282,108,174,
,Contra Costa,920,618,302,
,El Dorado,333,159,174,
,Fresno,942,734,208,
,Imperial,265,177,88,
,Kern,"1,118",838,280,
,Kings,206,69,137,
,Los Angeles,"16,768","9,197","7,571",
,Madera,99,69,30,
,Marin,282,183,99,
,Merced,237,116,121,
,Monterey,381,283,98,
,Napa,130,103,27,
,Orange,"3,459","1,948","1,511",
,Placer,405,216,189,
,Riverside,"3,729","2,021","1,708",
,Sacramento,"1,879","1,193",686,
,San Benito,58,27,31,
,San Bernardino,"3,029","1,706","1,323",
,San Diego,"3,692","2,196","1,496",
,San Francisco,"1,043",873,170,
,San Joaquin,691,284,407,
,San Luis Obispo,359,150,209,
,San Mateo,601,322,279,
,Santa Barbara,600,430,170,
,Santa Clara,"1,563","1,189",374,
,Santa Cruz,313,138,175,
,Shasta,205,131,74,
,Solano,415,107,308,
,Sonoma,610,444,166,
,Stanislaus,509,385,124,
,Sutter,127,99,28,
,Tulare,653,484,169,
,Ventura,"1,194",727,467,
,Yolo,242,81,161,
,Yuba,168,133,35,
Nonmetropolitan Counties,Alpine,18,15,3,
,Amador,95,49,46,
,Calaveras,92,51,41,
,Colusa,65,34,31,
,Del Norte,55,27,28,
,Glenn,52,18,34,
,Humboldt,212,166,46,
,Inyo,53,34,19,
,Lake,139,51,88,
,Lassen,62,45,17,
,Mariposa,69,55,14,
,Mendocino,138,111,27,
,Modoc,23,16,7,
,Mono,49,28,21,
,Nevada,173,66,107,
,Plumas,61,31,30,
,Sierra,16,11,5,
,Siskiyou,100,77,23,
,Tehama,106,72,34,
,Trinity,34,19,15,
,Tuolumne,128,64,64,
